======== Coverage for /home/runner/work/avalanche/avalanche/avalanche/ =========
------------------------------ Detailed Coverage -------------------------------
| Name                                                                                 |  Status |
|     ExMLCoRE50.__init__ (L161)                                                       | COVERED |
|   ExMLCIFAR10 (L226)                                                                 | COVERED |
|     ExMLCIFAR10.__init__ (L233)                                                      | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/classic/openloris.py (module)                                             | COVERED |
|   OpenLORIS (L48)                                                                    | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/classic/stream51.py (module)                                              |  MISSED |
|   CLStream51 (L62)                                                                   | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/dataset_utils.py (module)                                        |  MISSED |
|   set_dataset_root (L22)                                                             | COVERED |
|   default_dataset_location (L30)                                                     | COVERED |
|   load_config_file (L45)                                                             |  MISSED |
|   maybe_init_config_file (L50)                                                       | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/downloadable_dataset.py (module)                                 |  MISSED |
|   DownloadableDataset (L32)                                                          | COVERED |
|     DownloadableDataset.__init__ (L69)                                               | COVERED |
|   SimpleDownloadableDataset (L332)                                                   | COVERED |
|     SimpleDownloadableDataset.__init__ (L354)                                        | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/imagenet_data.py (module)                                        |  MISSED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/omniglot.py (module)                                             |  MISSED |
|   Omniglot (L16)                                                                     | COVERED |
|     Omniglot.__init__ (L22)                                                          |  MISSED |
|     Omniglot.data (L41)                                                              |  MISSED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/torchaudio_wrapper.py (module)                                   | COVERED |
|   speech_commands_collate (L29)                                                      |  MISSED |
|   SpeechCommandsData (L47)                                                           |  MISSED |
|     SpeechCommandsData.__init__ (L48)                                                |  MISSED |
|   SpeechCommands (L101)                                                              | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/torchvision_wrapper.py (module)                                  | COVERED |
|   MNIST (L45)                                                                        |  MISSED |
|   FashionMNIST (L49)                                                                 |  MISSED |
|   KMNIST (L53)                                                                       |  MISSED |
|   EMNIST (L57)                                                                       |  MISSED |
|   QMNIST (L61)                                                                       |  MISSED |
|   FakeData (L65)                                                                     |  MISSED |
|   CocoCaptions (L69)                                                                 |  MISSED |
|   CocoDetection (L73)                                                                |  MISSED |
|   LSUN (L77)                                                                         |  MISSED |
|   ImageFolder (L81)                                                                  |  MISSED |
|   DatasetFolder (L85)                                                                |  MISSED |
|   ImageNet (L89)                                                                     |  MISSED |
|   CIFAR10 (L93)                                                                      |  MISSED |
|   CIFAR100 (L97)                                                                     |  MISSED |
|   STL10 (L101)                                                                       |  MISSED |
|   SVHN (L105)                                                                        |  MISSED |
|   PhotoTour (L109)                                                                   |  MISSED |
|   SBU (L113)                                                                         |  MISSED |
|   Flickr8k (L117)                                                                    |  MISSED |
|   Flickr30k (L121)                                                                   |  MISSED |
|   VOCDetection (L125)                                                                |  MISSED |
|   VOCSegmentation (L129)                                                             |  MISSED |
|   Cityscapes (L133)                                                                  |  MISSED |
|   SBDataset (L137)                                                                   |  MISSED |
|   USPS (L141)                                                                        |  MISSED |
|   HMDB51 (L145)                                                                      |  MISSED |
